27,26.9,-14.1,-19.5,-12.0,64,69,22,7.4,22,319,5.2,-4.5,2.8,0.9,1.3,1.1
27,26.4,-14.3,-19.4,-10.9,64,69,23,7.7,24,321,5.5,-4.4,3.1,1.5,1.2,2.2
27,25.9,-14.3,-19.3,-9.6,64,70,0,3.1,-5,275,0.3,-3.1,-0.3,2.5,2.6,3.3
27,25.4,-14.3,-19.5,-8.2,64,70,1,5.5,80,22,0.9,0.4,5.4,2.6,2.5,1.3
27,24.9,-13.8,-19.6,-6.7,64,70,2,9.1,83,125,-0.7,0.9,9.0,3.3,2.3,1.8
27,24.3,-13.2,-19.8,-5.2,64,70,3,8.6,79,93,-0.1,1.7,8.5,3.5,3.0,2.8
27,23.8,-12.5,-19.8,-3.8,64,70,4,9.3,69,115,-1.4,3.0,8.7,1.8,2.0,2.4
27,23.1,-11.6,-19.8,-2.6,64,70,5,10.3,78,87,0.1,2.2,10.1,1.4,1.4,2.7
27,22.5,-10.7,-19.6,-1.6,64,70,6,10.3,74,113,-1.2,2.7,9.9,2.1,1.3,2.6
27,21.8,-9.9,-19.4,-0.8,64,70,7,8.2,42,123,-3.4,5.2,5.5,2.5,1.9,6.9
27,21.1,-9.2,-18.9,-0.4,64,70,8,10.9,83,28,1.2,0.6,10.8,2.3,1.7,1.9
27,20.3,-8.6,-18.4,-0.2,64,70,9,11.6,73,357,3.3,-0.2,11.2,1.6,1.4,2.7
27,19.5,-8.0,-17.8,-0.3,64,70,10,8.9,68,348,3.3,-0.7,8.3,1.3,0.8,3.3
27,18.6,-7.3,-17.1,-0.4,64,70,11,11.0,56,339,5.8,-2.2,9.1,1.3,1.3,3.6
28,18.5,-14.1,-9.0,-8.1,64,71,11,30.3,5,195,-29.1,-7.9,2.8,2.5,1.8,1.1
28,19.4,-14.2,-9.5,-9.1,64,71,12,25.0,1,195,-24.1,-6.4,0.6,2.1,1.3,1.3
28,20.2,-14.3,-9.9,-10.3,64,71,13,27.3,-5,190,-26.8,-4.7,-2.6,1.0,1.1,1.1
28,21.0,-14.3,-10.2,-11.4,64,71,14,25.6,-9,190,-24.9,-4.2,-4.0,1.5,1.4,0.6
28,21.7,-14.4,-10.4,-12.5,64,71,15,29.1,-13,193,-27.6,-6.4,-6.5,1.3,1.6,0.9
28,22.4,-14.5,-10.4,-13.5,64,71,16,29.4,-16,195,-27.3,-7.1,-8.0,1.4,1.3,1.0
28,23.1,-14.9,-10.3,-14.2,64,71,17,28.5,-20,195,-25.9,-6.9,-9.7,1.3,1.3,1.0
28,23.7,-15.4,-10.3,-14.8,64,71,18,23.0,-16,193,-21.6,-4.8,-6.2,1.4,1.5,1.4
28,24.3,-16.1,-10.2,-15.1,64,71,19,24.1,-12,190,-23.2,-4.1,-5.1,0.8,1.5,1.2
28,24.8,-16.9,-10.2,-15.0,64,71,20,25.0,-7,186,-24.7,-2.5,-3.0,0.8,1.4,1.0
